iter	Logloss
0	0.6710800476
1	0.6506008759
2	0.6308842723
3	0.6113016663
4	0.5978951263
5	0.58058343
6	0.5716709442
7	0.556621287
8	0.5426009064
9	0.5339618988
10	0.5262056732
11	0.5171563899
12	0.5102608185
13	0.5029862213
14	0.4973017909
15	0.4917383016
16	0.4887032344
17	0.4843519541
18	0.4810868556
19	0.4775127411
20	0.4747141291
21	0.4721078695
22	0.4692532934
23	0.4680354919
24	0.4663225657
25	0.4638394063
26	0.463415062
27	0.4618047663
28	0.4614981893
29	0.4605685857
30	0.4595365651
31	0.4585383555
32	0.4574749018
33	0.4567032115
34	0.4560692266
35	0.455365448
36	0.4551853689
37	0.4545918783
38	0.4542366308
39	0.453664505
40	0.4533441518
41	0.4527544607
42	0.452218399
43	0.4520114466
44	0.4511607361
45	0.4509598694
46	0.4504892578
47	0.4499739787
48	0.4497161662
49	0.4490434189
50	0.4488684438
51	0.4486950022
52	0.4480047226
53	0.4478478851
54	0.4474919103
55	0.4473607992
56	0.4472411321
57	0.446744311
58	0.4465198797
59	0.4463409754
60	0.4460649134
61	0.4459392726
62	0.4457440008
63	0.4454619446
64	0.4453078334
65	0.4451366831
66	0.4449451497
67	0.4447147395
68	0.4445127029
69	0.4442861226
70	0.4441561508
71	0.4439868291
72	0.4437997564
73	0.4434164581
74	0.4431250305
75	0.4429597117
76	0.4427504679
77	0.4425434087
78	0.4422506765
79	0.4421645381
80	0.4419840266
81	0.4418060506
82	0.4416701202
83	0.4415028636
84	0.441332456
85	0.441185936
86	0.4410484416
87	0.4407473119
88	0.4407339732
89	0.4404200592
90	0.4401771418
91	0.4400371933
92	0.439877182
93	0.4396914393
94	0.4396121419
95	0.4394903259
96	0.4391971385
97	0.4390966797
98	0.4389355647
99	0.4387816671
100	0.4386810989
101	0.4385516739
102	0.4383298747
103	0.4380531591
104	0.437830986
105	0.4376679815
106	0.4375411326
107	0.4374339549
108	0.4372782008
109	0.4370716731
110	0.4368722204
111	0.4367581151
112	0.4366084646
113	0.4365290553
114	0.4363886236
115	0.4362038116
116	0.4360359497
117	0.4358883413
118	0.4357306239
119	0.435621254
120	0.4356159617
121	0.435495992
122	0.4353324305
123	0.4351773504
124	0.4350437826
125	0.4349020996
126	0.4347015432
127	0.4345169957
128	0.4343315557
129	0.4342103602
130	0.434035876
131	0.4338845011
132	0.4338093948
133	0.4336849899
134	0.4335201696
135	0.4333691432
136	0.4332001292
137	0.433006045
138	0.4328758341
139	0.432717392
140	0.4326118978
141	0.4324864095
142	0.4323629939
143	0.4322071533
144	0.4320441844
145	0.4319094035
146	0.431736323
147	0.4315388082
148	0.4313821182
149	0.4312545751
150	0.4310707296
151	0.4309260788
152	0.4307714488
153	0.4305729116
154	0.4304755402
155	0.4303379542
156	0.4301359126
157	0.4300305532
158	0.4298724085
159	0.429712827
160	0.4295677109
161	0.4294106903
162	0.4292376582
163	0.429130188
164	0.4289490789
165	0.4288251343
166	0.4286500575
167	0.4285403442
168	0.4283755875
169	0.4282571487
170	0.4281278254
171	0.4279971186
172	0.42779363
173	0.4276692022
174	0.4275305456
175	0.4273918304
176	0.4272325567
177	0.4270491842
178	0.4269406764
179	0.4267625529
180	0.4266182683
181	0.426470576
182	0.4263298162
183	0.426156723
184	0.4260727844
185	0.4259731038
186	0.4258193258
187	0.4256996155
188	0.4256299032
189	0.4255398229
190	0.4254432729
191	0.4252953593
192	0.4251392365
193	0.4250097478
194	0.4248816706
195	0.4247177149
196	0.4245753174
197	0.4244091288
198	0.4243522135
199	0.4242333298
200	0.4240844345
201	0.4240023499
202	0.4238762054
203	0.4236622416
204	0.4235086899
205	0.423399175
206	0.4232765401
207	0.4231216838
208	0.4229824804
209	0.4228718313
210	0.4227551651
211	0.4226181335
212	0.4224889196
213	0.4223836848
214	0.4222761968
215	0.4221819967
216	0.4221124191
217	0.4219950943
218	0.4218639857
219	0.4216992416
220	0.4215429153
221	0.4213988469
222	0.4212860362
223	0.4211595612
224	0.4210394491
225	0.4209390081
226	0.4207791214
227	0.4206435623
228	0.4205119731
229	0.4204086787
230	0.4202750041
231	0.4201554057
232	0.4200159276
233	0.4199127553
234	0.4197624893
235	0.4195822093
236	0.4194793142
237	0.4193929418
238	0.4191854197
239	0.419066864
240	0.4189459407
241	0.418834053
242	0.4186998952
243	0.4185692622
244	0.4184769694
245	0.4183675715
246	0.4181816127
247	0.4180443548
248	0.4178852717
249	0.4177804489
250	0.4176512629
251	0.4175290451
252	0.4173804143
253	0.417237704
254	0.4171198934
255	0.4170273819
256	0.4169563929
257	0.4168606618
258	0.4167482783
259	0.4166853816
260	0.4165967306
261	0.4164520645
262	0.4163269424
263	0.4162137121
264	0.4160972112
265	0.4159389547
266	0.4158171692
267	0.4156646093
268	0.4155021413
269	0.4154256566
270	0.4152663752
271	0.4151419423
272	0.4150416768
273	0.414880221
274	0.4148099035
275	0.4146293818
276	0.4145391846
277	0.4144291255
278	0.4142832845
279	0.4141772944
280	0.4140197271
281	0.4139169312
282	0.4137107315
283	0.4136157939
284	0.4134434484
285	0.4132889506
286	0.4131636022
287	0.4130202942
288	0.4128886617
289	0.4127349269
290	0.412617129
291	0.4124504267
292	0.4123000921
293	0.4121448186
294	0.4120209274
295	0.4119083811
296	0.4117763036
297	0.4115911179
298	0.4113978882
299	0.411233167
300	0.411061704
301	0.4109595744
302	0.4108275528
303	0.4106636887
304	0.4104759038
305	0.4103686523
306	0.4102232005
307	0.410155777
308	0.4100725021
309	0.4099590454
310	0.409839269
311	0.4096556753
312	0.4094808807
313	0.4093994013
314	0.4092554881
315	0.409116595
316	0.4089991353
317	0.4088739421
318	0.40875811
319	0.4085796738
320	0.4083937861
321	0.4082017237
322	0.4080535405
323	0.40792939
324	0.40773172
325	0.4076124725
326	0.4074506149
327	0.4073337886
328	0.4072383169
329	0.4071115723
330	0.4070083389
331	0.4069076945
332	0.4067253927
333	0.4066205826
334	0.4064531453
335	0.4062929967
336	0.4061631826
337	0.4060488892
338	0.4059317652
339	0.4058043594
340	0.4056686122
341	0.4054924749
342	0.4053599574
343	0.4052258199
344	0.4050590159
345	0.4049375559
346	0.4047239024
347	0.4045995916
348	0.4044423879
349	0.404307546
350	0.4041656494
351	0.4039804764
352	0.4038085632
353	0.4036602987
354	0.4035544154
355	0.4033654455
356	0.4032195028
357	0.403079984
358	0.4029529012
359	0.402809995
360	0.4026438675
361	0.4025089645
362	0.4024140981
363	0.4022867126
364	0.4021655579
365	0.4020414149
366	0.4019299749
367	0.401791654
368	0.4016093928
369	0.4014907354
370	0.4013345718
371	0.4012284775
372	0.4011102575
373	0.4010220693
374	0.4008744456
375	0.4007435684
376	0.4006193059
377	0.4005056788
378	0.4003904851
379	0.4002712275
380	0.4001582209
381	0.4000116552
382	0.3998410746
383	0.3996379267
384	0.3995214513
385	0.3994127579
386	0.3993212509
387	0.3992091039
388	0.3990250727
389	0.3988842239
390	0.3987571004
391	0.3986206131
392	0.3984790751
393	0.3983561732
394	0.3982138367
395	0.398083758
396	0.3979928869
397	0.3978297704
398	0.3977354711
399	0.3976126302
400	0.3974852905
401	0.3973592784
402	0.3972296753
403	0.3971145757
404	0.3970292689
405	0.3968762945
406	0.3967185364
407	0.3965372492
408	0.3964093323
409	0.3963231913
410	0.3961765467
411	0.3960903422
412	0.3959479624
413	0.3958389104
414	0.3957004751
415	0.3955737584
416	0.3954509252
417	0.3952778041
418	0.3951305542
419	0.3949875844
420	0.3948469543
421	0.3947172419
422	0.3946202367
423	0.3944920883
424	0.3943719533
425	0.3941807938
426	0.3940639089
427	0.3939459712
428	0.3938231125
429	0.3936998978
430	0.3935817464
431	0.3934389852
432	0.3933397268
433	0.3931590271
434	0.3930407333
435	0.3929338099
436	0.392796964
437	0.3927089132
438	0.3925783183
439	0.3924714381
440	0.3923815384
441	0.3922891973
442	0.392180898
443	0.3920774078
444	0.391951856
445	0.3918195953
446	0.3917228343
447	0.3915774918
448	0.391463824
449	0.3913210932
450	0.3911647644
451	0.3910693665
452	0.3909450073
453	0.3908262558
454	0.3907382024
455	0.3905827688
456	0.3904601771
457	0.3903273163
458	0.3902179515
459	0.3900721537
460	0.389943634
461	0.3898302256
462	0.3897304459
463	0.3896161779
464	0.389492808
465	0.389334699
466	0.3891955999
467	0.3891211421
468	0.3890216115
469	0.388921257
470	0.388801267
471	0.3887082647
472	0.3886149979
473	0.388455691
474	0.3883190613
475	0.3881933085
476	0.3880653178
477	0.3879608587
478	0.3878451131
479	0.3877767766
480	0.3876167068
481	0.3875021922
482	0.3873955714
483	0.3872620468
484	0.3871752701
485	0.3870538839
486	0.3869180756
487	0.386804601
488	0.3867247238
489	0.386595754
490	0.386439532
491	0.386323349
492	0.3862082163
493	0.3860967127
494	0.3859806544
495	0.3858954697
496	0.3857977041
497	0.3856910655
498	0.3855641225
499	0.3854404678
500	0.3852933172
501	0.3851737823
502	0.3850465902
503	0.384931956
504	0.3848241272
505	0.3847239329
506	0.3846242956
507	0.3845289434
508	0.3844252828
509	0.3843269857
510	0.3842059809
511	0.3841010437
512	0.3839983393
513	0.3838985138
514	0.3838048248
515	0.3836801249
516	0.3835653509
517	0.3834518
518	0.3833306402
519	0.3832095718
520	0.3831090953
521	0.3829896774
522	0.3828618698
523	0.3827582245
524	0.3826389643
525	0.3825259476
526	0.3824429092
527	0.3823306859
528	0.3822208888
529	0.3820673192
530	0.3819760717
531	0.3818464076
532	0.3817658742
533	0.381624766
534	0.3815199203
535	0.3814326655
536	0.3813217926
537	0.3812273127
538	0.3811271286
539	0.3810062561
540	0.3808597717
541	0.3807339986
542	0.3805945638
543	0.380476738
544	0.3803502655
545	0.3802644908
546	0.3801702677
547	0.3800393499
548	0.3799022573
549	0.3797846196
550	0.3797040024
551	0.3796184057
552	0.3794829788
553	0.379407402
554	0.3792975998
555	0.3791837692
556	0.3790847295
557	0.3789392268
558	0.3788029963
559	0.3786850993
560	0.3785842082
561	0.3784848963
562	0.3783580882
563	0.3781979853
564	0.3780791677
565	0.37795696
566	0.3778853607
567	0.3778023173
568	0.3776759593
569	0.377597496
570	0.3774960454
571	0.3773863831
572	0.3772740758
573	0.377176506
574	0.3770744298
575	0.3769780757
576	0.3768588791
577	0.3767249146
578	0.3766247609
579	0.376538058
580	0.3764662679
581	0.3763484192
582	0.3762139867
583	0.3761346639
584	0.376045255
585	0.3759624125
586	0.3758454895
587	0.3757487411
588	0.3756562754
589	0.3755306854
590	0.3754372711
591	0.3753284429
592	0.3752212296
593	0.3750769094
594	0.3749868393
595	0.3749130936
596	0.3747818832
597	0.3746781642
598	0.3745849991
599	0.3744399872
600	0.3743389689
601	0.3742796122
602	0.3741965866
603	0.3741071752
604	0.3739524053
605	0.3738645554
606	0.3737445577
607	0.3736741333
608	0.3735937653
609	0.3734927444
610	0.3733727086
611	0.3732832743
612	0.3731716054
613	0.3730578486
614	0.3729251836
615	0.3728330943
616	0.3727399139
617	0.372635348
618	0.3725333659
619	0.3724320933
620	0.3723394521
621	0.3722137349
622	0.3721080882
623	0.3719745305
624	0.3718782832
625	0.3717493261
626	0.3716448364
627	0.3715461578
628	0.3714599202
629	0.371307401
630	0.3712237879
631	0.3711304092
632	0.3710271352
633	0.3709093399
634	0.3708029073
635	0.3707139867
636	0.3706166865
637	0.3705014318
638	0.370412974
639	0.3702884801
640	0.3702065862
641	0.3700700912
642	0.3699792887
643	0.3698239492
644	0.3697220154
645	0.3696335831
646	0.3695524877
647	0.3694716899
648	0.3693303452
649	0.3691952642
650	0.3691049067
651	0.3690099564
652	0.3689210917
653	0.3688095042
654	0.368706398
655	0.3685985819
656	0.3684885661
657	0.3683965759
658	0.3682927653
659	0.368180692
660	0.3681115545
661	0.3680093791
662	0.3679155451
663	0.3678427302
664	0.3677778702
665	0.3676295726
666	0.3674983037
667	0.3673959071
668	0.367291598
669	0.3671742172
670	0.3670673879
671	0.3669690425
672	0.3668148524
673	0.3667044169
674	0.3666386566
675	0.366549469
676	0.366449351
677	0.3663466797
678	0.3662471517
679	0.3661392415
680	0.3660501709
681	0.3659579061
682	0.365851916
683	0.3657603683
684	0.365660759
685	0.3655349197
686	0.3654272639
687	0.3653459218
688	0.365254631
689	0.3651635335
690	0.3650664317
691	0.3649721832
692	0.3648889135
693	0.3647897059
694	0.3646815974
695	0.3645962143
696	0.364520462
697	0.3644050293
698	0.3642993088
699	0.3641760381
700	0.3640938034
701	0.3640187378
702	0.3639037399
703	0.3637941233
704	0.3636975047
705	0.3635771713
706	0.3634689458
707	0.3633583323
708	0.3632766774
709	0.3631672872
710	0.3630806478
711	0.3629923274
712	0.3628827515
713	0.362777916
714	0.3626689631
715	0.3625178502
716	0.3624222488
717	0.3623436356
718	0.3622746048
719	0.3622001801
720	0.3620883026
721	0.3619909439
722	0.3618902639
723	0.3618076045
724	0.3617195562
725	0.3616155192
726	0.3615145518
727	0.3614510854
728	0.3613330663
729	0.3612159526
730	0.3611242396
731	0.3610229314
732	0.3609430033
733	0.3608415375
734	0.3607450333
735	0.3606512782
736	0.360579689
737	0.3604729869
738	0.3604041163
739	0.3602905299
740	0.3602007421
741	0.3601222534
742	0.3600322673
743	0.3599773356
744	0.3598781433
745	0.3597941488
746	0.3596794128
747	0.3595970866
748	0.3594523519
749	0.3593163783
750	0.3592297516
751	0.3591397807
752	0.3590076548
753	0.358930809
754	0.3587968521
755	0.3587184652
756	0.3585904236
757	0.3585192159
758	0.3584194539
759	0.3583295949
760	0.3582742666
761	0.3581738358
762	0.3580845668
763	0.3579384308
764	0.3577970759
765	0.3577130152
766	0.3576091868
767	0.3575192973
768	0.3574138387
769	0.3573361638
770	0.3572735596
771	0.3572122955
772	0.357147405
773	0.3570688375
774	0.3570013301
775	0.3568508428
776	0.3567749049
777	0.3567050629
778	0.356602417
779	0.3564957047
780	0.3564089991
781	0.3563541412
782	0.3562240779
783	0.3560948639
784	0.3560266953
785	0.3559019623
786	0.355813708
787	0.355716011
788	0.3556268717
789	0.3555495275
790	0.3554409154
791	0.3552977269
792	0.355224767
793	0.3551444295
794	0.3550331853
795	0.3549109777
796	0.3548506393
797	0.3547273941
798	0.3546649755
799	0.3544958191
800	0.3544236705
801	0.3543110123
802	0.3542093913
803	0.3541326777
804	0.3540298665
805	0.3539503377
806	0.3538530223
807	0.3537603149
808	0.353693306
809	0.3536158498
810	0.3535270742
811	0.3534654897
812	0.3533877207
813	0.3533197301
814	0.3532222748
815	0.3531378199
816	0.3530198898
817	0.3529399109
818	0.3528550568
819	0.3527574692
820	0.3526536738
821	0.3525823466
822	0.3525001729
823	0.3524078623
824	0.352289861
825	0.3521321843
826	0.3520520045
827	0.3519537175
828	0.3518407491
829	0.3517535477
830	0.3516616999
831	0.3515509796
832	0.3514533666
833	0.3513502019
834	0.3512546997
835	0.351199824
836	0.3510386709
837	0.3509449946
838	0.3508574193
839	0.3507764511
840	0.3506548869
841	0.3505651449
842	0.350485672
